"Carimbo de data/hora","Qual é a sua geração/faixa etária?","Qual é o seu gênero?","Qual é o seu grau de instrução?","Qual a sua faixa de renda?","Em qual Estado/Município você reside?","De que forma os programas de formação e os planos de carreira estruturados por uma empresa impactam a percepção de estabilidade e a satisfação profissional de seus colaboradores?","Você observou que o uso de plataformas digitais e o trabalho remoto aumentaram suas responsabilidades ou dificuldades? Descreva como isso influenciou sua rotina","Durante e após a pandemia, como o trabalho remoto e as adaptações digitais afetaram seu equilíbrio entre vida pessoal e profissional? ","Como o aumento da cobrança por resultados no trabalho remoto afetou sua saúde, rotina e relações com a equipe?","Como a falta de autonomia ou o excesso de controle no trabalho remoto impactam sua produtividade e saúde mental?","Como o monitoramento digital da sua empresa tem aumentado seu estresse ou afetado sua privacidade?","Como a pressão por adaptação a novas tecnologias tem afetado seu trabalho?","Como as desigualdades por gênero e/ou renda somadas a falta de garantias trabalhistas, como em alguns casos licença saúde, afetam sua saúde mental e condições de trabalho?"
"2025/07/30 8:58:01 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Graduação completa","De 2 a 4 salários mínimos","São Paulo/Carapicuiba ","Incentivam os profissionais a se aperfeiçoarem cada vez mais, promovendo compettividade","Foi dificil acostumar com o uso das plataformas, pois minha geração não era muito adepta as tecnologias, hoje consigo usá-las, mas ainda com certas restrições. ","Foi um impacto muito grande, me ver sendo obrigada a adotar o trabalho remoto de um dia para o outro, ter que usar sites, plataformas que até então eram desconhecidos para mim, ter que trazer o serviço para dentro de casa, me sentia sufocada, sem sombras de dúvida prefiro o tradicional.","Nos primeiros dias de trabalho remoto, fiquei muito nervosa, perdia boites de sono, pois não me sentia segura em realizar o trabalho remotamente,,tive a ajuda do meu filho que me auxiliava qyando ficava perdida.","Nesse momento não impactam mais, já não estou remoto","É bem estranho se sentir viagiado o tempo todo, fico apreensiva com medo de cometer algo de errado e isso acaba gerando um estresse desnecessário. ","Agora ja vejo essas adaptações como necessárias para facilitar meu trabalho ","A falta de garantias gera muito estresse pois o trabalhador fica inseguro quanto ao seu futuro."
"2025/07/30 9:17:52 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Graduação completa","Acima de 10 salários mínimos","São Paulo ","Passa confiança e igualdade na avaliação","Entendo que as duas coisas. Equilibrar as atividades do trabalho x vida pessoal ","Controlar as horas dedicadas ao trabalho , mas por outro lado , foi possível realizar atividades pessoais com mais flexibilidade","Não tive esse caso.","Não tive esse cenario","Não tive esse cenario","Muito, são práticas depois que se adapta, mas no início toma tempo devido ao aprendizado levando a ansiedade pela dificuldade inicia ","Não entendi a pergunta"
"2025/07/30 10:18:18 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Pós-graduação completa","De 4 a 6 salários mínimos","Jandira","São cursos cuja formação  são extenuante pois estão relacionados ao programa de plataformas digitais com objetivos de dar conta de conteúdos deixando o trabalho do professor engessado.","O estabelecimento de metas a serem cumpridas para aplicar o material digital e novas imposições para aplicação, como a curadoria,  nos obriga  a ficar mais tempo em dar conta do material digital. Nesse sentido, recorremos aos finais de semana.","Nossa rotina foi totalmente afetada pelas aulas online, produção de conteúdo e o encargo das busca ativas. Era de nossa responsabilidade a presença do aluno. Ficamos a maior parte do nosso tempo envolvidos com produção e presença do aluno no classroom","Os conflitos gerados pelas contradições entre resultados e participação no trabalho remeto nos deixou apáticos pois não tivemos suporte para  resolver as implicações do sistema remoto e presença dos alunos. Nesse sentido, não só a saúde mental como o stress foi intensificado mas o físico como a obesidade.,","Durante e pos pandemia perdemos nossa liberdade de cátedra. Sabemos no custo para a qualidade de ensino e nos impactos a nossa saúde mental  gerado pela pressão por resultadoscátedra. Sabemos o custo  para a qualidade de ensino e no impacto a nossa saúde me tal","As preocupações em atender as demandas impostas pela secretaria da Educação provoca insônia e ansiedade pois nos faz sentir incapazes de resolver problemas relacionados a plataformas. Passamos a maior parte do nosso tempo dedicados à cumprir o programa das plataformas bem como monitorar o acessos dos alunos as plataformas. A cada ano ha um aumento no número de plataformas digitais tais como, Leia e redação, Speak, Khan Academy entre outras, aumenta a pressão de cobrança para os professores.  É humanamente impossível dar resultados positivos quando trabalhamos em um ambiente insalubre. As salas de aula são quentes sem ventilação,  falta material digital de qualidade para cumprir as demandas e isso aumenta nosso stress e ansiedade.","Estamos ja adaptados mas o custo em qualidade do trabalho resultou em desânimo e um profundo mal estar no trabalho,  pois os conflitos entre alunos, professores e gestão acirrou ainda mais.","Como ja foi descrito, o custo à  saúde mental e física decaiu a qualidade de ensino e tornando o ensino um desafio ou uma missão que nos desanima a cada dia. Nesse sentindo, nos tornamos apáticos e solitários no nosso trabalho. "
"2025/07/31 12:34:19 PM GMT-3","Geração Baby Boomers - Acima de 57 anos","Feminino","Pós-graduação completa","Acima de 10 salários mínimos","São Paulo ","Grandemente. Com planos claros e definidos as expectativas ficam explícitas. Apóiam as decisões de desenvolvimento pessoal ","Trabalho remoto desde o século passado. Com expectativas claras e responsabilidade eu sou bastante adepta ","Ganhei tempo. Menos deslocamento. Perdemos as interações pessoais o que nos obriga a buscar eventos, reuniões e ocasiões para encontrar pessoas. Eu gosto pois faz com que as pessoas tenham que aprender a buscar o que necessitam e entendo isto como positivo. ","Não afetou. Aprendi a lidar com isto ao atuar com equipes licaluzadas em diferentes países e a diversidade de culturas é muito interessante ","Não vejo desta forma. Desde que os entregáveis tenham data, prefiro a flexibilidade.","Não afeta","Eu sou adepta a novas Tecnologias e desafios. Não sinto pressão ","As pessoas devem ser tratadas como iguais, independente de gênero. Aprendi a buscar meus direitos nos anos 80 e aprendi bastante. Sempre tive equipes com diversidade desde os anos 90 e gosto muito dos diversos olhares e contribuições "
"2025/07/31 2:51:31 PM GMT-3","Geração Z - De 12 a 26 anos","Feminino","Técnico/Certificação profissional","Prefiro não informar","São Paulo/Carapicuíba ","Empresas que proproem objetivos e caminhos claros impactam diretamente na produtividade de seus colaboradores, resultado esse por se sentirem seguros e valorizados.","O uso de plataformas digitais passam a sensação do colaborador estar sempre disponível, resultante do estado ""online""; consequentemente chamados e novas exigências possuem chance de se acumularem e afetar a produtividade de um dia não planejado.","Toda adaptação requer tempo e disponibilidade; tempo foi um recurso necessário para que as novas exigências e experiências se estabelecessem como algo comum.","O aumento de cobrança alimenta um carácter autocrítico, de acordo do modo como é tratado, pode ser benéfico ou maléfico à saúde. Contudo, é indispensável ter para si que o bem feito entregue é melhor que o perfeito, que não existe, não entregue.","O controle exagerado atrapalham bastante, dá a sensação de desconfiança e tira a leveza do trabalho, afetando diretamente a produtividade, preocupando o colaborador em “parecer produtivo” do que em realmente focar nas tarefas.","O monitoramento digital não chega a atrapalhar diretamente, mas é possível que de vez em quando uma sensação de pressão pode se fazer presente. Saber que está sendo observado o tempo todo pode tirar um pouco o foco do trabalho.","A pressão por se adaptar às novas tecnologias afeta tanto a produtividade quanto o emocional. Nem sempre há tempo ou apoio suficiente pra aprender direito, e isso gera insegurança e medo de errar. Tornando a experiência de aprender algo novo maçante, inconsciente desmotivando seu cérebro. Em situações mais extremas generalizando todo o aprendizado como algo custoso e pouco benéfico.","Desigualdades causam pressões psicológicas que afetam diretamente a maneira como a pessoa se porta na meio, muitas vezes tentando provar algo que não necessariamente precisava ou até mesmo fingindo ser quem não é."
"2025/07/31 4:16:53 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Técnico/Certificação profissional","De 2 a 4 salários mínimos","SP /Carapicuíba ","Estimulando,o incentivo é ótimo, a tendência é ter profissionais mais dedicados","Aumentou as responsabilidades, tive que ir aprendendo tudo o que não sabia para poder me adequar a realidade atual  ","Como muita coisa começou a ser resolvido só de forma remota,me senti um pouco frustada por não ter tanta habilidade só de modo remoto,tive um pouco de dificuldade ","Um pouco de ansiedade ","Um pouco de preocupação e ansiedade por querer dar conta e não ter muita habilidade ","Um pouco de estresse e a privacidade um pouco reduzida ","Me vejo na busca por aprender o mais rápido possível para me adequar ","Muito estressante "
"2025/07/31 10:02:03 PM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Ensino médio incompleto","De 1 a 2 salários mínimos","Barueri -sp","Um plano de carreira bem definido oferece aos colaboradores uma visão clara das oportunidades de crescimento dentro da empresa.","No meu caso reduziu distâncias, economizou meu  tempo e aumentou a minha produtividade.. ","De forma positiva, consegui me adaptar com a mudança rapidamente e gostei bastante da mudança.","Tudo positivamente, ficou até melhor e mais produtivo. ","Esse ambiente misto leva ao aumento da carga mental e física, afetando a qualidade do sono e o equilíbrio emocional.","Não, pois o que precisamos fazer com a ferramenta remota, não precisamos se expor.. (só quando a reuniões, mas isso é normal).","De forma positiva pois me dedico sempre para aprender mais e conseguir resolver os problemas que encontro.","Não afetam. "
"2025/08/01 9:39:56 AM GMT-3","Geração X - De 41 a 56 anos","Feminino","Ensino fundamental completo","De 1 a 2 salários mínimos","Carapicuíba são Paulo ","Muito","Tranquilo ","Não ","Não ","Não ","Não ","Não, faço o que posso","Não "
"2025/08/01 12:22:12 PM GMT-3","Geração Baby Boomers - Acima de 57 anos","Feminino","Ensino fundamental incompleto","De 1 a 2 salários mínimos","São Paulo/Carapicuíba ","São ótimas iniciativas, desde que não sejam usadas como instrumentos de cobrança ","Apesar de aumentarem minhas responsabilidades, eu consegui equilibrar minha rotina","As adaptações necessárias não afetaram tanto a minha rotina","Minha rotina ficou apertada por conta da correria para entrega das demandas","Tudo ficou corrido, mas consegui separar o tempo para cuidar de ambas as coisas","O monitoramento excessivo é algo muito estressante e motivo de brigas entre os colaboradores","Fica difícil trabalhar com brigas diárias por conta de adaptação ","Não costuma impactar muito desde que seja conversado antes com os patrões "
"2025/08/02 12:33:49 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Graduação incompleta","De 4 a 6 salários mínimos","São Paulo","Na saúde física, mental e econômica.","Deu uma bagunçada na rotina.","Restritos ao convivio social.","Afetou na restrições.","Afetou muito por que acaba aumentando o tempo de trabalho. ","Isso é bem claro na busca de terapia.","Exaustão","Deixa ainda mais inseguro."
"2025/08/03 5:28:31 AM GMT-3","Geração X - De 41 a 56 anos","Feminino","Ensino médio completo","Até 1 salário mínimo","Carapicuíba São Paulo ","Boa","Eu não entendo isso ","Estava afastada do trabalho ","Sim","Sim","Sim","Sim","Sim"
"2025/08/03 5:33:20 AM GMT-3","Geração X - De 41 a 56 anos","Feminino","Ensino médio completo","Até 1 salário mínimo","Carapicuíba São Paulo ","Ruim","Dificuldade ","Péssimo ","Sim","Sim","Sim","Sim","Sim"
"2025/08/04 11:00:20 AM GMT-3","Geração Baby Boomers - Acima de 57 anos","Masculino","Pós-graduação completa","Prefiro não informar","São Paulo","Planos de formação e carreira estruturados dão uma certa segurança e boas expectativas aos colaboradores porque mostrar que existe uma estratégia de relacionamento de longo prazo para o desenvolvimento e relacionamento dos colaboradores.","Trabalho remoto, trouxe mais flexibilidade, mas também permitiu uma dedicação maior a empresa, principalmente em cargos de liderança que não tem horário fixo de trabalho. Facitiou o relacionamento com a família e economizou tempo e stress perdidos no deslocamento até a empresa. Exigiu mais disciplina e negociação com a família sobre a sua disponibilidade. Dificultou a comunicação, por isso vejo a importância de estar com os colegas de trabalho na empresa pessoalmente todas as semanas. Resumindo acho que o formato hibrido é bom, depeendento da atividades profissional. Quem trabalha por projetos pode ficar a maior parte do tempo remoto, mas quem cuida de operações devem estar na empresa na maior parte do seu tempo.","Positivamente por estar mais perto de família e reconomizar muito tempo e dinheiro no deslocamento até a empresa. Negativamente na comunicação e proximidade com os colegas de trabalho devido a distância, apesar dos meiors de comunicação terem se desenvolvido. O Comprometimento com os trabalhos e projetos acredito que foi prejudicado nesse preríodo.","Pelas dificuldades de comunicação remota, fala olho no olho eu acredito que traz mais comprometimento com metas e objetivos, aproxima as pessoas e cria mais sinergia nas equipes. Para os gestores o relacionamento remoto dificulta a comunicação, pois depende de muita disciplina, o que não é muito valorizada na cultura brasileira.","Trabalho remoto não combina com falta de autonomia e controle, pela distância, quem trabalho por projetos, será produtivo nesse formato, mas quem cuidade de operações ou serviços críticos precisa estar na empresa, porque em caso de emergências as pessoas precisam se reunir rapidamente e compartilhar informações, buscar soluções em grupo. Então acho que a produtividade melhora em projetos e piora em operações, daí a saúde mental dos colaboradores é afetada da mesma forma, principalmente para os líderes e gestores que devem gerenciar essas dificuldades e entregar os resultados.","não temos monitoramente digital, veja que algumas empresas tentam controlar o tempo em que o colaborador fica conectado na rede da empresa, mas isso não necessariamente é um fator de produtividade na minha opinião.","Pressão por adoção de novas tecnologia preocupa quando a ação é um decisão centralizada e as pessoas estão trabalhando remotamente, porque o gerenciamento e capacitação é  mais difícil nesses casos. A adoção de novas tecnologia sempre existiu nas empresas mas hoje está mais rápida do que a 10 anos atrás e por isso a capacitação e apoio aos colaboradores é mais complexa e exige mais investimento e dedicação dos gestores.","O apoio da empresa para licenças de saúde é fundamental para a unidade da equipe, porque traz confiança e mostra ao colaboradora que ele terá apoio da empresa em caso de dificuldades. Os problemas de saúde podem trazer ausência, mas as pessoas continuam parte da equipe. Desigualdades trazem dificuldades de gestão porque o valor das pessoas está no seu conhecimento e habilidades para desempenhar suas funções então se a empresa não tem estratégias para eliminar essas diferenças os líderes enfrentam dificuldades na sua gestão e na produtividade das suas equipes."
"2025/08/04 4:11:16 PM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Masculino","Pós-graduação completa","Acima de 10 salários mínimos","Osasco/SP","Através de planos de desenvolvimento individuais, gestão de competências e planos de tuition. ","O impacto não chegou a ser positivo. Talvez para o colaborar, este modelo tenha gerado oportunidades de conciliar o trabalho com outras atividades, para a empresa, um impacto grande foi sentido na cultura da empresa, já que o convívio no escritório foi praticamente perdido. ","Não afetou. Me adaptei muito bem ao modelo hibrido. COmeço a produzir mais cedo, termino em um horário que permite ter outras atividades. Não perco mais tempo no transito, por exemplo. ","Como um profissional de vendas, não tive mudanças neste sentido.","Não tenho está situação. Como líder, minha gestão com a equipe passa por indicadores de resultados. ","Não passo por essa situação.","Não existe esta pressão. ","Pessoalmente, nunca passei por tal situação. Com minha equipe, sou completamente compreensivo que não somos maquinas e em tudo, precisamos buscar o equilíbrio. Busco fornecer para o meu time conversas e feedbacks para entender rapidamente como podemos ajustar e melhorar a maneira como trabalhamos. "
"2025/08/08 10:36:38 PM GMT-3","Geração Baby Boomers - Acima de 57 anos","Feminino","Graduação completa","De 4 a 6 salários mínimos","Barueri SP","Habilitando-os com meios mais atuais as necessidades da empresa e sua evolução! ","Ajudou a ter mais conhecimento não percebidos antes ; tbm uma rotina ampla com mais aproveitamento no decorrer do dia !    mais ","Preocupante no início, porém tudo se adapta e aos poucos vem a criatividade não imaginada antes !!! Esse foi um ponto muito positivo !!! ","Fiquei preocupada, porém me segurei na FÉ e fiz com atenção e carinho, sobre a responsabilidade do trabalho a ser realizado e concluído com aprovação !!! !!! ","Fico muito nervosa antes... Depois aos poucos com a nova prática, técnica, responsabilidade... vão evoluindo, me acalmou e sigo em frente !!! Amém... 🙏🏻","Procuro me controlar diariamente, para que nada né afete emocionante, ... Porém, tenho chá calmante e isso ajuda muito !!! Tbm, tendo diálogo franco com profissionais amigos da área, procurando em conjunto resolver o serviço perfeito no dia !!! ","Primeiro fico nervosa e temerosa; depois me acalmou com a prática e muito diálogo com amigos profissionais!!! ","Procuro não deixar isso me abater... Porque não ajudará em nada, só irá piorar meu emocional e isso não é atitude adulta e de responsabilidade... Penso no meu futuro, rezo, tenho fé, pensamentos positivos, procuro fazer o melhor de mim no trabalho a ser realizado e sigo em frente !!! Amém... 🙏🏻"
"2025/08/08 10:52:55 PM GMT-3","Geração Baby Boomers - Acima de 57 anos","Feminino","Graduação completa","De 4 a 6 salários mínimos","Osasco,SP","Através do desenvolvimento social","Influenciou muito no dia a dia","Afetaram emocionalmente","Afetou negativamente","Me deixam estressadas","Minha rotina mudou","Dificuldade em acompanhar","Me deixam angustiada"
"2025/08/08 11:14:13 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Graduação completa","De 1 a 2 salários mínimos","Barueri SP ","Diretamente, pois estamos sempre ligados a produtos e serviços de outros setores ","Aumento de responsabilidades, pois precisamos estar atentos a todo momento, e as vezes não desconectamos nem no momento de descanso. Tudo se tornou muito digital e automático, dificultando o convívio em outros campos, como familiares ","Afetaram muito, pela falta de convivência presencial com o mundo real","Excessivamente exaustivo psicologicamente ","Diretamente afetados, pois a tecnologia ajuda por um lado e atrapalha por outro. Ficamos em um único mundinho e não estamos mais aptos a convivências","Aumenta muito o stress, pois sempre somos cobrados pelos clientes, em estar antenado e atualizado as exigências digitais, isso esgota.","Tem que administrar essa pressão, mas nem sempre conseguimos, pois as empresas são constantemente comparadas umas com as outras, a impressão que dá, que só tem sucesso quem está 100%, nas redes sociais 24 horas por dia.","Afetam diretamente , pois pensamos que isso pode atingir a um maior número de pessoas no futuro e até chegamos a nos incluir, preocupação com o futuro."
"2025/08/08 11:31:09 PM GMT-3","Geração Baby Boomers - Acima de 57 anos","Feminino","Pós-graduação completa","De 4 a 6 salários mínimos","São Paulo/ Barueri ","Onde ela trabalha não tem plano de carreira ","O trabalho remoto exige maior dedicação, mais tempo de trabalho, e muitas empresas não auxiliam o funcionário com relação a gastos como: eletricidade e internet.","Não me afetaram diretamente já que estou aposentada","Vejo isso acontecer com minha filha, trabalha demais, fica muitas horas no computador i","O excesso de trabalho não deixa a pessoa ter uma vida saudável ","Agora ela já está lidando melhor com a situação, mas tenho que estar sempre cobrando seu descanso ","No início foi pior, agora ela tem conseguido adaptar seu trabalho e sua diversão ela é","O trabalho remoto as vezes leva a um cansaço mental extremo, mas ela prefere o trabalho em casa devido a não ter que ficar longos tempos em condução "
"2025/08/08 11:41:58 PM GMT-3","Geração Baby Boomers - Acima de 57 anos","Feminino","Graduação completa","Prefiro não informar","Carapicuiba SP","É muito importante ajudar os seus colaboradores ","O trabalho remoto foi uma das melhores coisas","Foi um ajuste perfeito  entre família e trabalho","Não atrapalhou em nada!! Pelo contrário só melhorou","Lógico que sem excesso, embora em casa, seguindo horários definidos ","Desde que controlado  tudo certo.","Com formações periódicas  tudo se encaminha","No caso fazendo um trabalho bem feito e guardando  dinheiro para uma previdência fica um pouco msis garantido "
"2025/08/08 11:58:57 PM GMT-3","Geração X - De 41 a 56 anos","Feminino","Graduação completa","De 4 a 6 salários mínimos","São Paulo,  Barueri ","Esperança de crescimento profissional e financeiro ","Praticidade é  fato , afasta as pessoas...acaba empatia","Afastada dis amigos ...gosto do contato humano","Befaruvo semcemparia, só pensando em cumorir meta ","As pessoas ficam desiquilibradas","Ausa ansiedade e pânico ","Insegurança de não conseguir  ou fazer algo errado,  ","Claro...nao3tem segurança em situações de ocorrencias ou fatalidades "
"2025/08/09 8:26:53 AM GMT-3","Geração Z - De 12 a 26 anos","Feminino","Graduação incompleta","Até 1 salário mínimo","Barueri/São Paulo ","Nao compreendi bem sua questão, mas penso que muitos planos de carreira e as formas de ganhar promoções ofertadas são modelos antigos que exigem trabalhos extras, disputas e concorrência interna, dedicação exclusiva ao trabalho e desgaste da vida pessoal, e tudo isso em vista de uma idealizada visão de estabilidade profisssional e padrões de vida (pautadas em consumismo), e para mim não vale a pena a longo prazo entrar em empresas com semelhantes ofertas.","Sim, tornaram frias as relações, geram ansiedade em reuniões e as vezes é uma perda do tempo produtivo que terá que ser reposta","Nao trabalhei remotamente durante a pandemia","As relações se fragmentaram e enfraqueceram","Quanto a entregas de resultados, há sensação de vigilância.","Não ha monitoramento por câmera no meu trabalho ","Gera estresse e frustração, e sensação de que ficarei para trás ","Quanto a gênero não tenho o que reclamar mas quanto a garantias trabalhistas, é uma insegurança e sentimento de exploração e perda de direitos fundamentais "
"2025/08/09 8:39:20 AM GMT-3","Geração Baby Boomers - Acima de 57 anos","Feminino","Pós-graduação completa","Acima de 10 salários mínimos","São Paulo/Barueri ","Atual como ferramentas positivas ","No período da pandemia foi muito útil, viabilizando nosso trabalho. Hoje atual como auxilio no trabalho presencial.","Foram de grande valia.","Não vivenciamos grandes cobranças a fim de afetar a saúde ou relacionamento com a equipe.","Não tenho esse impacto na minha produtividade.","Nada excessivo a ponto de de afetar negativamente.","Somos sempre treinados para utilizar as tecnologias sem que isso afete meu trabalho.","Temos boas condições de trabalho onde não vivenciamos de forma negativa essas condições."
"2025/08/09 9:21:33 AM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Feminino","Ensino médio completo","De 1 a 2 salários mínimos","Carapicuíba ","traz segurança ","facilitou minha vida","trouxe novos desafios e oportunidades ","eu não tive isso","não trabalhei remoto","não se aplica","trouxe oportunidades ","não tive essas dificuldades"
"2025/08/09 10:41:12 AM GMT-3","Geração Y (millennials) - De 27 a 40 anos","Feminino","Pós-graduação completa","De 2 a 4 salários mínimos","São Paulo ","Uma empresa com plano de carreira e estruturação para crescimento faz com que o profissional mantenha-se motivado.","O ponto positivo foi menos tempo no trânsito e possibilidade de ter maior contato com a família.Ponto negativo é que acaba que não há limites de horário e você pode acabar trabalhando mais. ","Desequilibravam um pouco.","A cobrança por resultados é maior no trabalho remoto. ","A saúde mental fica prejudicada devido a alta performance que é cobrada no trabalho remoto. Por ser remoto você se sente na obrigação de “compensar” e acaba muitas vezes excedendo o horário.","Não ","Afeta um pouco pois sempre precisamos nos adaptar a um novo sistema, mas muitas vezes as novas tecnologias são positivas para o processo.","-"
